Frequency,# of Items,%
311,95,0.0000316
312,76,0.0000253
313,83,0.0000276
314,90,0.0000299
315,81,0.0000269
316,89,0.0000296
317,80,0.0000266
318,100,0.0000332
319,83,0.0000276
320,87,0.0000289
321,86,0.0000286
322,82,0.0000273
323,79,0.0000263
324,69,0.0000229
325,85,0.0000282
326,80,0.0000266
327,72,0.0000239
328,75,0.0000249
329,77,0.0000256
330,80,0.0000266
331,61,0.0000203
332,80,0.0000266
333,53,0.0000176
334,73,0.0000243
335,72,0.0000239
336,58,0.0000193
337,58,0.0000193
338,66,0.0000219
339,84,0.0000279
340,76,0.0000253
341,72,0.0000239
342,77,0.0000256
343,66,0.0000219
344,83,0.0000276
345,80,0.0000266
346,71,0.0000236
347,75,0.0000249
348,67,0.0000223
349,67,0.0000223
350,59,0.0000196
351,65,0.0000216
352,56,0.0000186
353,66,0.0000219
354,62,0.0000206
355,67,0.0000223
356,71,0.0000236
357,57,0.0000189
358,55,0.0000183
359,62,0.0000206
360,57,0.0000189
361,64,0.0000213
362,61,0.0000203
363,61,0.0000203
364,66,0.0000219
365,70,0.0000233
366,61,0.0000203
367,80,0.0000266
368,60,0.0000199
369,62,0.0000206
370,39,0.0000130
371,50,0.0000166
372,54,0.0000179
373,53,0.0000176
374,68,0.0000226
375,45,0.0000150
376,68,0.0000226
377,55,0.0000183
378,45,0.0000150
379,43,0.0000143
380,66,0.0000219
381,57,0.0000189
382,55,0.0000183
383,70,0.0000233
384,43,0.0000143
385,48,0.0000160
386,52,0.0000173
387,34,0.0000113
388,52,0.0000173
389,57,0.0000189
390,62,0.0000206
391,50,0.0000166
392,69,0.0000229
393,58,0.0000193
394,63,0.0000209
395,54,0.0000179
396,48,0.0000160
397,45,0.0000150
398,49,0.0000163
399,47,0.0000156
400,47,0.0000156
401,48,0.0000160
402,59,0.0000196
403,56,0.0000186
404,60,0.0000199
405,60,0.0000199
406,47,0.0000156
407,61,0.0000203
408,48,0.0000160
409,57,0.0000189
410,45,0.0000150
411,48,0.0000160
412,64,0.0000213
413,38,0.0000126
414,33,0.0000110
415,44,0.0000146
416,46,0.0000153
417,58,0.0000193
418,37,0.0000123
419,51,0.0000169
420,52,0.0000173
421,53,0.0000176
422,44,0.0000146
423,37,0.0000123
424,56,0.0000186
425,46,0.0000153
426,44,0.0000146
427,39,0.0000130
428,43,0.0000143
429,39,0.0000130
430,39,0.0000130
431,44,0.0000146
432,40,0.0000133
433,51,0.0000169
434,48,0.0000160
435,37,0.0000123
436,42,0.0000140
437,48,0.0000160
438,49,0.0000163
439,41,0.0000136
440,40,0.0000133
441,41,0.0000136
442,51,0.0000169
443,41,0.0000136
444,36,0.0000120
445,33,0.0000110
446,47,0.0000156
447,45,0.0000150
448,54,0.0000179
449,38,0.0000126
450,32,0.0000106
451,40,0.0000133
452,36,0.0000120
453,36,0.0000120
454,42,0.0000140
455,41,0.0000136
456,36,0.0000120
457,51,0.0000169
458,37,0.0000123
459,44,0.0000146
460,45,0.0000150
461,36,0.0000120
462,33,0.0000110
463,39,0.0000130
464,44,0.0000146
465,27,0.0000090
466,25,0.0000083
467,36,0.0000120
468,32,0.0000106
469,39,0.0000130
470,33,0.0000110
471,33,0.0000110
472,39,0.0000130
473,51,0.0000169
474,47,0.0000156
475,40,0.0000133
476,46,0.0000153
477,41,0.0000136
478,53,0.0000176
479,26,0.0000086
480,37,0.0000123
481,34,0.0000113
482,47,0.0000156
483,35,0.0000116
484,39,0.0000130
485,33,0.0000110
486,39,0.0000130
487,42,0.0000140
488,33,0.0000110
489,32,0.0000106
490,37,0.0000123
491,27,0.0000090
492,33,0.0000110
493,38,0.0000126
494,34,0.0000113
495,30,0.0000100
496,25,0.0000083
497,30,0.0000100
498,26,0.0000086
499,33,0.0000110
500,28,0.0000093
501,28,0.0000093
502,27,0.0000090
503,34,0.0000113
504,35,0.0000116
505,39,0.0000130
506,26,0.0000086
507,34,0.0000113
508,23,0.0000076
509,27,0.0000090
510,34,0.0000113
511,26,0.0000086
512,30,0.0000100
513,31,0.0000103
514,35,0.0000116
515,38,0.0000126
516,33,0.0000110
517,38,0.0000126
518,33,0.0000110
519,33,0.0000110
520,40,0.0000133
521,34,0.0000113
522,25,0.0000083
523,27,0.0000090
524,32,0.0000106
525,38,0.0000126
526,31,0.0000103
527,27,0.0000090
528,40,0.0000133
529,30,0.0000100
530,34,0.0000113
531,29,0.0000096
532,37,0.0000123
533,30,0.0000100
534,25,0.0000083
535,23,0.0000076
536,21,0.0000070
537,31,0.0000103
538,24,0.0000080
539,25,0.0000083
540,25,0.0000083
541,40,0.0000133
542,30,0.0000100
543,21,0.0000070
544,38,0.0000126
545,30,0.0000100
546,32,0.0000106
547,36,0.0000120
548,23,0.0000076
549,22,0.0000073
550,26,0.0000086
551,29,0.0000096
552,32,0.0000106
553,22,0.0000073
554,29,0.0000096
555,33,0.0000110
556,27,0.0000090
557,33,0.0000110
558,30,0.0000100
559,23,0.0000076
560,23,0.0000076
561,28,0.0000093
562,24,0.0000080
563,29,0.0000096
564,21,0.0000070
565,27,0.0000090
566,22,0.0000073
567,28,0.0000093
568,27,0.0000090
569,32,0.0000106
570,30,0.0000100
571,26,0.0000086
572,22,0.0000073
573,29,0.0000096
574,24,0.0000080
575,22,0.0000073
576,20,0.0000066
577,39,0.0000130
578,23,0.0000076
579,33,0.0000110
580,35,0.0000116
581,28,0.0000093
582,18,0.0000060
583,26,0.0000086
584,28,0.0000093
585,35,0.0000116
586,28,0.0000093
587,21,0.0000070
588,26,0.0000086
589,27,0.0000090
590,37,0.0000123
591,27,0.0000090
592,25,0.0000083
593,25,0.0000083
594,24,0.0000080
595,18,0.0000060
596,18,0.0000060
597,23,0.0000076
598,25,0.0000083
599,19,0.0000063
600,14,0.0000047
601,21,0.0000070
602,24,0.0000080
603,20,0.0000066
604,27,0.0000090
605,20,0.0000066
606,18,0.0000060
607,24,0.0000080
608,22,0.0000073
609,19,0.0000063
610,25,0.0000083
611,26,0.0000086
612,24,0.0000080
613,21,0.0000070
614,18,0.0000060
615,19,0.0000063
616,26,0.0000086
617,15,0.0000050
618,22,0.0000073
619,20,0.0000066
620,14,0.0000047
621,19,0.0000063
622,20,0.0000066
623,19,0.0000063
624,16,0.0000053
625,21,0.0000070
626,24,0.0000080
627,17,0.0000056
628,15,0.0000050
629,32,0.0000106
630,18,0.0000060
631,14,0.0000047
632,20,0.0000066
633,20,0.0000066
634,18,0.0000060
635,27,0.0000090
636,27,0.0000090
637,26,0.0000086
638,22,0.0000073
639,18,0.0000060
640,16,0.0000053
641,25,0.0000083
642,19,0.0000063
643,20,0.0000066
644,12,0.0000040
645,22,0.0000073
646,18,0.0000060
647,23,0.0000076
648,17,0.0000056
649,18,0.0000060
650,15,0.0000050
651,28,0.0000093
652,22,0.0000073
653,16,0.0000053
654,13,0.0000043
655,19,0.0000063
656,17,0.0000056
657,21,0.0000070
658,20,0.0000066
659,29,0.0000096
660,21,0.0000070
661,22,0.0000073
662,18,0.0000060
663,19,0.0000063
664,26,0.0000086
665,17,0.0000056
666,25,0.0000083
667,22,0.0000073
668,15,0.0000050
669,29,0.0000096
670,17,0.0000056
671,17,0.0000056
672,14,0.0000047
673,29,0.0000096
674,17,0.0000056
675,13,0.0000043
676,21,0.0000070
677,22,0.0000073
678,20,0.0000066
679,19,0.0000063
680,26,0.0000086
681,19,0.0000063
682,10,0.0000033
683,21,0.0000070
684,18,0.0000060
685,21,0.0000070
686,19,0.0000063
687,22,0.0000073
688,16,0.0000053
689,18,0.0000060
690,16,0.0000053
691,17,0.0000056
692,17,0.0000056
693,22,0.0000073
694,19,0.0000063
695,23,0.0000076
696,20,0.0000066
697,23,0.0000076
698,17,0.0000056
699,10,0.0000033
700,15,0.0000050
701,15,0.0000050
702,14,0.0000047
703,17,0.0000056
704,18,0.0000060
705,14,0.0000047
706,17,0.0000056
707,22,0.0000073
708,13,0.0000043
709,16,0.0000053
710,16,0.0000053
711,13,0.0000043
712,16,0.0000053
713,24,0.0000080
714,12,0.0000040
715,11,0.0000037
716,16,0.0000053
717,15,0.0000050
718,10,0.0000033
719,21,0.0000070
720,13,0.0000043
721,15,0.0000050
722,16,0.0000053
723,7,0.0000023
724,16,0.0000053
725,16,0.0000053
726,20,0.0000066
727,21,0.0000070
728,13,0.0000043
729,14,0.0000047
730,15,0.0000050
731,19,0.0000063
732,11,0.0000037
733,11,0.0000037
734,18,0.0000060
735,19,0.0000063
736,18,0.0000060
737,13,0.0000043
738,14,0.0000047
739,13,0.0000043
740,18,0.0000060
741,16,0.0000053
742,14,0.0000047
743,20,0.0000066
744,12,0.0000040
745,10,0.0000033
746,27,0.0000090
747,17,0.0000056
748,16,0.0000053
749,11,0.0000037
750,11,0.0000037
751,16,0.0000053
752,11,0.0000037
753,12,0.0000040
754,16,0.0000053
755,19,0.0000063
756,25,0.0000083
757,12,0.0000040
758,15,0.0000050
759,16,0.0000053
760,14,0.0000047
761,18,0.0000060
762,13,0.0000043
763,15,0.0000050
764,13,0.0000043
765,18,0.0000060
766,20,0.0000066
767,9,0.0000030
768,5,0.0000017
769,14,0.0000047
770,19,0.0000063
771,19,0.0000063
772,11,0.0000037
773,21,0.0000070
774,14,0.0000047
775,15,0.0000050
776,15,0.0000050
777,22,0.0000073
778,17,0.0000056
779,14,0.0000047
780,10,0.0000033
781,17,0.0000056
782,15,0.0000050
783,12,0.0000040
784,16,0.0000053
785,9,0.0000030
786,16,0.0000053
787,11,0.0000037
788,14,0.0000047
789,12,0.0000040
790,13,0.0000043
791,12,0.0000040
792,13,0.0000043
